##Level 2##
##Format: TYPE, POS_X, POS_Y,POS_Z, NORMAL_X, NORMAL_Y, SCALE_X, SCALE_Y, SCALE_Z
##Borders##
GO_WALL, 	138.0, 	68.5.0, 	0.00, 	2, 0, 	500.00, 	7.5, 	12.0
GO_WALL,	 -115.6, 	-77.8, 	0.00, 	0, 1, 	300.00, 	7.5, 	12.0
GO_WALL, 	63.0, 	-224.0,	0.00, 	2, 0, 	350.00, 	7.5, 	12.0
GO_WALL, 	280.0, 	-77.0,	0.00, 	0, 1, 	300.00, 	7.5, 	12.0
##Start##
GO_WALL, 	-75, 	30.0, 	0.00, 	0, 1, 	70.00, 	7.5, 	12.0
GO_WALL, 	-75, 	-90, 	0.00, 	0, 1, 	30, 	7.5, 	12.0
##Start Side##
GO_WALL, -36.2, -101.5, 0.00, 1, 0, 70, 7.5, 12.0
GO_WALL, 33.8, -101.5, 0.00, 1, 0, 70, 7.5, 12.0
GO_WALL, 103.8, -101.5, 0.00, 1, 0, 70, 7.5, 12.0
GO_WALL, 158.8, -101.5, 0.00, 1, 0, 40, 7.5, 12.0
##Start Entrance##
GO_WALL, 140, -162.5, 0.00, 1, 0, 80, 50, 12.0
GO_WALL, -69.5, -180.5, 0.00, 0, 1, 80, 20, 12.0
GO_WALL, -11.5, -180.5, 0.00, 0, 1, 80, 20, 12.0
GO_WALL, 49.5, -130, 0.00, 0, 1, 50, 20, 12.0
GO_WALL, 176, -203.5, 0.00, 0, 1, 33, 7.5, 12.0
GO_WALL, 210, -139.5, 0.00, 0, 1, 90, 7.5, 12.0
GO_WALL, 245, -161.5, 0.00, 0, 1, 45, 7.5, 12.0
GO_WALL, 231, -98, 0.00, 1, 0, 35, 7.5, 12.0
GO_WALL, 174.5, -16.5, 0.00, 0, 1, 162, 7.5, 12.0
GO_WALL, 231, -40, 0.00, 1, 0, 35, 20, 12.0
GO_WALL, 231, 20, 0.00, 1, 0, 35, 20, 12.0
###
GO_WALL, 	-35, 	-47.7, 	0.00, 	0, 1, 	100, 	7.5, 	12.0
